slug	name	location	stream_url	report_url	area	lon	lat
-lake-worth-pier-southside	Lake Worth Pier Southside	Lake Worth, Palm Beach County, Florida, United States	https://cams.cdn-surfline.com/cdn-ec/ec-lakeworthpierss/playlist.m3u8	https://www.surfline.com/surf-report/-lake-worth-pier-southside/5a9d8a84b0f634001ada2d1e	Los Angeles County, California	-80.0342052698258	26.612103305684403
10th-st-overview	10th St. Overview	Ocean City, Cape May County, New Jersey, United States	https://cams.cdn-surfline.com/cdn-ec/ec-10thstovnj/playlist.m3u8	https://www.surfline.com/surf-report/10th-st-overview/5b02fe338bd590001bf55485	Cape May County, New Jersey	-74.57324975560897	39.274010019324514
15th-street-pier	15th Street Pier	Virginia Beach, City of Virginia Beach, Virginia, United States	https://cams.cdn-surfline.com/cdn-ec/ec-15thstpiervb/playlist.m3u8	https://www.surfline.com/surf-report/15th-street-pier/5842041f4e65fad6a7708a27	City of Virginia Beach, Virginia	-75.97189552122133	36.84318777204769
15th-to-18th-st-	15th St.	Del Mar, San Diego, California, United States	https://cams.cdn-surfline.com/cdn-wc/wc-delmar15th/playlist.m3u8	https://www.surfline.com/surf-report/15th-to-18th-st-/5842041f4e65fad6a77088af	San Diego, California	-117.2696309974066	32.95916304183685
16th-ave-	16th Ave., Belmar	Belmar, Monmouth County, New Jersey, United States	https://cams.cdn-surfline.com/cdn-ec/ec-belmar/playlist.m3u8	https://www.surfline.com/surf-report/16th-ave-/5842041f4e65fad6a7708a01	Monmouth County, New Jersey	-74.0110837	40.179708
16th-st-south	16th St. South	Cocoa Beach, Brevard County, Florida, United States	https://cams.cdn-surfline.com/cdn-ec/ec-cocoastreets/playlist.m3u8	https://www.surfline.com/surf-report/16th-st-south/5842041f4e65fad6a7708ac7	Brevard County, Florida	-80.60630321502686	28.289851576629342
17th-st-	17th St.	Huntington Beach, Orange County, California, United States	https://cams.cdn-surfline.com/cdn-wc/wc-seventeenthst/playlist.m3u8	https://www.surfline.com/surf-report/17th-st-/5842041f4e65fad6a77088eb	Orange County, California	-118.0143556189923	33.66315613358258
18th-street	18th Street	Atlantic Beach, Duval County, Florida, United States	https://cams.cdn-surfline.com/cdn-ec/ec-atlanticbeach18th/playlist.m3u8	https://www.surfline.com/surf-report/18th-street/5842041f4e65fad6a7708a8c	Duval County, Florida	-81.39451410792867	30.34696027700899
1st-st-	1st St.	Ocean City, Cape May County, New Jersey, United States	https://cams.cdn-surfline.com/cdn-ec/ec-oceancitynj/playlist.m3u8	https://www.surfline.com/surf-report/1st-st-/5842041f4e65fad6a7708858	Cape May County, New Jersey	-74.55954194068909	39.27998864541564
1st-st-	1st St.	Kill Devil Hills, Dare County, North Carolina, United States	https://cams.cdn-surfline.com/cdn-ec/ec-kdh1ststreet/playlist.m3u8	https://www.surfline.com/surf-report/1st-st-/5842041f4e65fad6a7708a42	Dare County, North Carolina	-75.66412925720215	36.03043116489792
1st-st-jetty	1st St. Jetty	Virginia Beach, City of Virginia Beach, Virginia, United States	https://cams.cdn-surfline.com/cdn-ec/ec-vbfirstfixed/playlist.m3u8	https://www.surfline.com/surf-report/1st-st-jetty/584204214e65fad6a7709ce7	City of Virginia Beach, Virginia	-75.9664785861969	36.83036135089083
1st-st-jetty-to-pier	1st St. Jetty to Pier	Virginia Beach, City of Virginia Beach, Virginia, United States	https://cams.cdn-surfline.com/cdn-ec/ec-vbfirstfixed/playlist.m3u8	https://www.surfline.com/surf-report/1st-st-jetty-to-pier/5842041f4e65fad6a7708864	City of Virginia Beach, Virginia	-75.963	36.831
36th-st-	36th St.	Newport Beach, Orange County, California, United States	https://cams.cdn-surfline.com/cdn-wc/wc-thirtysixnewport/playlist.m3u8	https://www.surfline.com/surf-report/36th-st-/5842041f4e65fad6a770882a	Orange County, California	-117.93676257133484	33.61555743705257
36th-st-close-up	40th St. Newport	Newport Beach, Orange County, California, United States	https://cams.cdn-surfline.com/cdn-wc/wc-fortiethstnewport/playlist.m3u8	https://www.surfline.com/surf-report/36th-st-close-up/5a26dd690f87fe001a0c70dc	Orange County, California	-117.93568968772888	33.61610244977117
38th-ave-overview	38th Ave. Overview	Opal Cliffs, Santa Cruz County, California, United States	https://cams.cdn-surfline.com/cdn-wc/wc-thirtyeightov/playlist.m3u8	https://www.surfline.com/surf-report/38th-ave-overview/5a74f236588618001a6511f8	Santa Cruz County, California	-121.9674950838089	36.958945469745295
40th-st-	40th St.	Miami Beach, Miami-Dade County, Florida, United States	https://cams.cdn-surfline.com/cdn-ec/ec-miami40th/playlist.m3u8	https://www.surfline.com/surf-report/40th-st-/584204214e65fad6a7709d10	Miami-Dade County, Florida	-80.12082	25.812164
42nd-to-46th-st--north-end	42nd to 46th St., North End	Virginia Beach, City of Virginia Beach, Virginia, United States	https://cams.cdn-surfline.com/cdn-ec/ec-fortyfifthvb/playlist.m3u8	https://www.surfline.com/surf-report/42nd-to-46th-st--north-end/584204204e65fad6a7709991	City of Virginia Beach, Virginia	-75.97846269607544	36.87262082353406
54th-st-	54th St.	Newport Beach, Orange County, California, United States	https://cams.cdn-surfline.com/cdn-wc/wc-fiftyfournewport/playlist.m3u8	https://www.surfline.com/surf-report/54th-st-/584204214e65fad6a7709cba	Orange County, California	-117.94555485248566	33.62226710774577
56th-st-	56th St.	Newport Beach, Orange County, California, United States	https://cams.cdn-surfline.com/cdn-wc/wc-fiftysixnewport/playlist.m3u8	https://www.surfline.com/surf-report/56th-st-/5842041f4e65fad6a7708e54	Orange County, California	-117.94685304164886	33.6227227388759
56th-street-close-up	56th Street Close-up	Newport Beach, Orange County, California, United States	https://cams.cdn-surfline.com/cdn-wc/wc-fiftysixclose/playlist.m3u8	https://www.surfline.com/surf-report/56th-street-close-up/5a26e1ba9caa98001b09d0e7	Orange County, California	-117.94650703668594	33.62325877241491
71st-st--north-end	71st St., North End	Virginia Beach, City of Virginia Beach, Virginia, United States	https://cams.cdn-surfline.com/cdn-ec/ec-seventysecondvb/playlist.m3u8	https://www.surfline.com/surf-report/71st-st--north-end/58bdd5eba7ce4b00126f7baf	City of Virginia Beach, Virginia	-75.98667025566101	36.89712582985135
77th-st-rockaways	77th St. Rockaways	Rockaway Point, Queens, New York, United States	https://cams.cdn-surfline.com/cdn-ec/ec-rockaway77th/playlist.m3u8	https://www.surfline.com/surf-report/77th-st-rockaways/584204214e65fad6a7709d0a	Queens, New York	-73.80341649055481	40.584218779843496
83rd-to-86th-st--north-end	83rd to 86th St., North End	Virginia Beach, City of Virginia Beach, Virginia, United States	https://cams.cdn-surfline.com/cdn-ec/ec-northendva/playlist.m3u8	https://www.surfline.com/surf-report/83rd-to-86th-st--north-end/5842041f4e65fad6a7708a23	City of Virginia Beach, Virginia	-75.98732471466064	36.9102212316428
8th-ave-south	8th Ave. South	Jacksonville Beach, Duval County, Florida, United States	https://cams.cdn-surfline.com/cdn-ec/ec-jacksonville/playlist.m3u8	https://www.surfline.com/surf-report/8th-ave-south/584204214e65fad6a7709bc7	Duval County, Florida	-81.38389706611633	30.281250120235736
8th-st-	8th St.	Ocean City, Worcester County, Maryland, United States	https://cams.cdn-surfline.com/cdn-ec/ec-oceancitymd/playlist.m3u8	https://www.surfline.com/surf-report/8th-st-/5842041f4e65fad6a770886d	Worcester County, Maryland	-75.081169	38.338461
90th-st-rockaways	90th St. Rockaways	Rockaway Point, Queens, New York, United States	https://cams.cdn-surfline.com/cdn-ec/ec-rockaway90th/playlist.m3u8	https://www.surfline.com/surf-report/90th-st-rockaways/5842041f4e65fad6a7708852	Queens, New York	-73.81182253360748	40.58342841721757
abalone-st-	Abalone St.	Nags Head, Dare County, North Carolina, United States	https://cams.cdn-surfline.com/cdn-ec/ec-abalonest/playlist.m3u8	https://www.surfline.com/surf-report/abalone-st-/584204214e65fad6a7709ce8	Dare County, North Carolina	-75.63862	35.987343
agate-beach	Agate Beach	Newport, Lincoln County, Oregon, United States	https://cams.cdn-surfline.com/cdn-wc/wc-agatebeachor/playlist.m3u8	https://www.surfline.com/surf-report/agate-beach/584204214e65fad6a7709d27	Lincoln County, Oregon	-124.063237	44.658023
ala-moana-bowls	Ala Moana Bowls	Honolulu, O‘ahu, Hawaii, United States	https://cams.cdn-surfline.com/cdn-wc/hi-alamoanabowls/playlist.m3u8	https://www.surfline.com/surf-report/ala-moana-bowls/5842041f4e65fad6a7708b42	O‘ahu, Hawaii	-157.84570455551147	21.281416779283845
anchor-point	Anchor Point	Taghazout, Taghazout, Agadir-Ida-ou-Tnan, Souss-Massa, Morocco	https://cams.cdn-surfline.com/cdn-int/ma-anchorpoint/playlist.m3u8	https://www.surfline.com/surf-report/anchor-point/5842041f4e65fad6a7708cfd	Taghazout, Agadir-Ida-ou-Tnan	-9.743236111	30.55033611
anglet	Anglet	Biarritz, Pyrénées-Atlantiques, Nouvelle-Aquitaine, France	https://cams.cdn-surfline.com/cdn-int/fr-anglet/playlist.m3u8	https://www.surfline.com/surf-report/anglet/5842041f4e65fad6a7708bce	Pyrénées-Atlantiques, Nouvelle-Aquitaine	-1.533822669133699	43.51401611768647
arrifana	Arrifana	Aljezur, Aljezur Municipality, Faro, Portugal	https://cams.cdn-surfline.com/cdn-int/pt-arrifana/playlist.m3u8	https://www.surfline.com/surf-report/arrifana/5842041f4e65fad6a7708e7e	Aljezur Municipality, Faro	-8.87188	37.293774
ashdod	Ashdod	Ashdod, Southern District, Israel	https://cams.cdn-surfline.com/cdn-int/il-ashdod/playlist.m3u8	https://www.surfline.com/surf-report/ashdod/584204204e65fad6a7709ab5	Southern District, Israel	34.637	31.815
atlantic-beach	Atlantic Beach	Atlantic Beach, Duval County, Florida, United States	https://cams.cdn-surfline.com/cdn-ec/ec-atlanticbeach/playlist.m3u8	https://www.surfline.com/surf-report/atlantic-beach/5842041f4e65fad6a7708a98	Duval County, Florida	-81.39229204475505	30.32468915287104
